x,y,Name,Genes
12.8611765,5.528978,NDUFB8,NDUFA8 NDUFA7 NDUFS8 NDUFB5 NDUFB4 NDUFS4 NDUFS3 NDUFB1 
3.016915,1.1929141,MRPS30,MRPL28 MRPS18A MRPL27 MRPL24 MRPL22 MRPL23 MRPL32 MRPL30 MRPL39 MRPL37 MRPL38 MRPL35 YARS2 MRPL33 MRPL34 MRPL42 MRPL43 MRPL40 MRPL41 ICT1 GADD45GIP1 MTERF3 MRPL48 MRPL46 MRPL47 MRPL44 MRPL53 MRPL54 MRPL10 MRPL51 MRPL52 MRPL50 MRPL19 MRPL17 MRPL18 MRPL15 MALSU1 MRPL16 MRPL1 MRPL13 MRPL57 MRPL14 MRPL55 MRPL11 MRPL12 NGRN MRPL20 MRPL4 MRPL21 MRPL3 MRPL2 MRPL9 
20.864498,-8.547035,CERCAM,ARSA NAGLU FUT11 MAN2B1 SGSH 
12.206638,-8.469473,PSMA5,PSMB8 PSMB3 PSMB1 PSME4 FBXO7 PSMB10 
-4.292453,-9.046058,BRIX1,UPF1 IMP3 IMP4 DDX31 GNL3 REXO4 LARP7 GTPBP4 MRTO4 NSA2 DKC1 RPL7L1 RPL26 PABPC4 RPL26L1 STAU2 NIP7 ZC3HAV1 NOC4L RPF2 DHX30 HERC5 LLPH RPL36A PES1 RPS5 RPL17 RRS1 SF3B2 LYAR MYEF2 NOP16 DDX56 CCDC137 PAPD5 MRPS22 MINA RRP1B NOC3L FTSJ3 WDR12 GLTSCR2 MOV10 EBNA1BP2 MYBBP1A TSR1 GZF1 NOP56 RPS24 FYTTD1 RBM28 RRP8 ZNF771 DDX27 WHSC1 MPHOSPH10 DDX24 DDX21 RRP9 LARP1 DHX57 
13.398128,3.6356514,YARS2,TRUB2 MRPL4 MRPL32 WBSCR16 ICT1 MRPL50 MTERF3 MRPL19 MALSU1 MRPL13 MRPL14 
13.377698,3.5854752,WBSCR16,TRUB2 MRPL4 MRPL32 ICT1 MRPL50 PTCD1 MTERF3 MRPL19 MRPL28 MRPL13 MRPL47 
14.795428,0.93663126,PPIF,CNN3 HINT1 LYPLA1 GOT2 TALDO1 GLRX 
9.826848,-13.649168,NSA2,NOP16 IMP3 IMP4 PAPD5 MRPS22 GNL3 REXO4 LARP7 GLTSCR2 EBNA1BP2 MYBBP1A DKC1 RPL7L1 GZF1 NOP56 FYTTD1 RPL26L1 RBM28 ZNF771 DDX27 STAU2 MPHOSPH10 DDX24 DDX21 RPF2 DHX30 PES1 RPS5 RRS1 LYAR 
18.665598,-12.596399,POLR3G,POLR3B POLR3C CRCP POLR3D POLR1C POLR3H 
15.873413,-6.39599,STX12,GOSR1 STX6 VTI1A STX10 OPTN TBC1D17 
0.7241454,-17.875034,CNOT10,CNOT6L CNOT6 CNOT7 CNOT8 CNOT2 CNOT3 RQCD1 CNOT11 TNKS1BP1 
13.704437,6.878131,CEP170,PCYT1A RUFY2 FRAT2 NIN KIFC3 RFWD3 DAPK3 CEP170B BEGAIN SYNE2 
18.06782,-14.64863,PHF5A,SF3B5 SF3A2 SF3A3 SF3B4 PRPF31 SNRPB2 SF3A1 SF3B2 
13.628111,1.8111061,DRG1,GNL3L NTMT1 DDX47 LRRC41 ZNF622 ZC3H15 RPS13 
9.538847,-13.583692,DDX27,RBM28 ZNF771 IMP3 STAU2 IMP4 MPHOSPH10 DDX21 PAPD5 MINA RPF2 DHX30 RPS17 MYBBP1A EBNA1BP2 DKC1 PES1 RPS5 GZF1 LYAR NOP56 FYTTD1 
17.789383,-15.358365,SNU13,CPSF6 DDX3X TCERG1 SF3A3 USP39 DDX5 DDX17 SRRT DDX23 THOC2 CDC5L PRPF40A CDC73 EFTUD2 PRPF6 SART1 PRPF8 PRPF19 SNRPD2 SNRPD1 DHX15 PRPF31 
16.800299,-3.311812,RPS4X,EIF5B TUFM SND1 RPS8 RPL21 RPS9 MINA RPS3A RPS27 EBNA1BP2 RPL27A FAU TSR1 HNRNPC RPS20 RPS25 RPL3 RPL30 RPL11 RPL10 RPLP2 RPL13 HNRNPU RPF2 RPL36AL G3BP1 PES1 RPL37 RPS5 RPL14 RPL39 RPS3 RPS15A RPS27A 
7.2730823,-14.09406,MOB4,PPP2CB STRIP2 SLMAP STRN STRN3 CTTNBP2NL 
-5.494448,-9.039633,PUM3,RPS8 RPS9 RPL21 ZBTB11 KNOP1 GTPBP4 MRTO4 BOP1 LIN28B XRN2 DKC1 RPL7L1 CCDC86 RPL26 POP1 RPL28 RPL27 RPL26L1 STAU1 STAU2 RPL11 NIP7 RPL13 DHX30 HERC5 PURA PES1 RPL15 RPL14 ZNF668 RPL17 RPS3 RPL19 RPL18 NOP16 DDX56 SURF6 CCDC137 DDX54 FTSJ3 DDX50 GLTSCR2 MOV10 NOL12 RPS23 GLYR1 RSL24D1 RPS24 ZNF771 RPL6 RRP8 RPL3 PWP1 RPL31 RPL4 RPL30 WHSC1 RPL32 PPAN ZNF22 RPL9 TTF1 RPL7 RRP9 RPL8 LARP1 RPS16 RPS15 C7ORF50 RPS18 RPS19 RPL36 BRIX1 RPS10 RPL13A RPS3A DDX31 GNL3 REXO4 GNL2 WDR36 NSA2 CEBPZ ZNF512 HP1BP3 NVL NOP2 PAK1IP1 ZC3HAV1 CTCF RPF1 RPF2 LLPH GAR1 RRS1 RPS15A DDX18 NOP58 MYEF2 KRR1 DDX10 RPL23A PAPD5 NOC3L RSL1D1 EBNA1BP2 MYBBP1A ESF1 NOP56 RBM28 DDX27 RPLP0 RPLP2 DDX24 RPLP1 DDX21 NOC2L RPL10A KRI1 RPS4X RPL18A NKRF RRP15 RRP12 NIFK RBM34 
13.783559,7.418857,PLXNA3,GALNT13 CNTNAP3 ENTPD6 CHST10 CACNA2D2 PLXNA1 
9.777027,-13.816663,IMP3,RBM28 DHX30 MYBBP1A DKC1 IMP4 MPHOSPH10 NOL10 PAPD5 RPS5 LARP7 LYAR RPF2 
17.607512,-7.631433,CCNA2,CDT1 CDKN1B CDKN1C CCNB1 GMNN CCNE2 CCNE1 CDK3 CKS1B CDK2 CDK1 SKP2 
3.1271613,1.3325714,MRPL18,MTERF3 MRPL28 MRPL48 MRPS18A MRPL27 MRPL24 MRPL46 MRPL47 MRPL22 MRPL10 MRPL32 MRPL51 MRPL30 MRPL50 MRPL19 MRPL17 MRPL39 MRPL37 MRPL38 MRPL16 MRPL35 MRPL13 MRPL57 MRPL14 MRPL55 MRPL11 MRPL34 MRPL12 MRPL20 MRPL4 MRPL21 MRPL43 MRPL3 MRPL41 MRPL2 MRPL9 ICT1 
1.8486794,-2.2623432,ZNF219,HDAC2 MBD2 MBD3 GATAD2A CHD5 GATAD2B MTA2 RBBP4 CDK2AP1 RBBP7 TRIM27 MTA3 ZNF423 
15.380623,-11.405634,BRMS1,SAP130 SIN3A BRMS1L SUDS3 ARID4A ARID4B SAP30 
4.1623483,-12.095158,CBX8,RNF2 PHC3 PHC2 CBX4 RING1 BMI1 
-4.544368,-14.932501,DPF2,SS18L1 BCL7B ACTL6A SMARCE1 ARID1A SMARCA4 
12.971395,6.245664,UBE2V1,FAHD1 QDPR HSD17B14 SORD DYNLRB2 UBE2N 
